change_id,project,author_name,target,safe_entropy_interaction,is_bot,is_deployment_project,is_pure_config,is_fix,is_feature,is_maintenance,is_deployment,is_ci_change,is_refactor,config_line_ratio,code_line_ratio,churn_density,change_entropy,file_count,churn_log_size,deletion_ratio,msg_readability_ease,msg_gunning_fog,references_bug_tracker,has_subject_tag,modifies_db_migration,modifies_dependencies,modifies_config,modifies_public_api,has_security_impact,is_test_change,is_revert,is_documentation_only,directory_depth,file_extension_entropy,has_gerrit_topic,author_success_rate,author_submission_count,author_trust_score,project_acceptance_rate,historical_file_prob
openstack%2Foctavia~763530,openstack/octavia,Gregory Thiemonge,1,0.0,0,0,0,1,0,0,0,0,0,0.1717171717171717,0.8282828282828283,16.5,1.9339608453005008,6,4.605170185988092,0.18181818181818182,49.67554104477614,10.879104477611941,0,0,0,0,1,0,0,0,0,0,5.666666666666667,3,0,0.6571428571428571,35,0.0028971111662941806,0.5144230769230769,0.75
openstack%2Fkolla~763757,openstack/kolla,Marcin Juszkiewicz,1,0.0,0,1,0,1,0,0,0,1,0,0.0,0.0,5.0,0.0,1,1.791759469228055,0.0,50.66500000000002,8.200000000000001,0,0,0,0,0,0,0,0,0,0,3.0,1,0,0.6666666666666666,6,0.06593406593406591,0.8,0.0
openstack%2Fkolla~763903,openstack/kolla,Marcin Juszkiewicz,0,0.0,0,1,0,1,0,0,0,1,0,0.0,0.0,5.0,0.0,1,1.791759469228055,0.0,50.470769230769264,8.276923076923078,0,0,0,0,0,0,0,0,0,0,3.0,1,0,0.7142857142857143,7,0.07291666666666664,0.8064516129032258,1.0
openstack%2Foctavia-lib~764144,openstack/octavia-lib,likui,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,7.5,0.5665095065529053,2,2.772588722239781,1.0,51.78921568627453,11.67843137254902,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.5,6,0.06122448979591836,0.043478260869565216,0.12903225806451613
openstack%2Fkayobe~764362,openstack/kayobe,Mark Goddard,1,0.0,0,1,1,1,0,0,0,0,0,1.0,0.0,2.0,0.0,1,1.0986122886681098,0.5,48.80500000000001,11.885714285714286,0,0,0,0,0,0,0,0,0,0,2.0,1,1,0.8260869565217391,23,0.014838709677419355,0.92,0.0
openstack%2Fkayobe~764600,openstack/kayobe,Margarita Shakhova,1,0.5916727785823275,0,1,1,1,0,0,0,0,0,1.0,0.0,3.5,0.5916727785823275,2,2.0794415416798357,0.0,31.70789473684212,18.126315789473683,0,0,0,0,1,0,0,0,0,0,4.0,2,0,0.0,0,0.0,0.9230769230769231,0.0
openstack%2Fkolla~764662,openstack/kolla,Christian Berendt,1,0.0,0,1,0,0,0,0,1,0,0,0.0,1.0,2.0,0.0,1,1.0986122886681098,0.5,12.401428571428596,14.228571428571428,0,0,0,0,0,0,0,0,0,0,3.0,1,1,0.0,0,0.0,0.78125,0.0
openstack%2Fkolla-ansible~765508,openstack/kolla-ansible,Bartosz Bezak,1,0.8112781244591328,0,1,1,0,0,0,1,0,1,1.0,0.0,4.0,0.8112781244591328,2,2.1972245773362196,0.125,42.732500000000044,12.807407407407409,1,0,0,0,1,0,0,0,0,0,4.5,2,1,1.0,4,0.04395604395604396,0.7428571428571429,0.5
openstack%2Fkolla-ansible~765685,openstack/kolla-ansible,Radosław Piliszek,1,0.8112781244591328,0,1,1,0,0,0,0,0,0,1.0,0.0,4.0,0.8112781244591328,2,2.1972245773362196,0.125,52.86500000000001,12.0,1,0,0,0,1,0,0,0,0,0,4.0,2,1,0.6666666666666666,18,0.014263074484944533,0.7464788732394366,0.0
openstack%2Fkolla~765854,openstack/kolla,abraden,1,1.3015742892816131,0,1,1,0,1,0,0,0,0,1.0,0.0,7.666666666666667,1.3015742892816131,3,3.1780538303479458,0.21739130434782608,21.646666666666704,9.633333333333333,1,0,0,0,1,0,0,0,0,0,3.0,2,1,1.0,1,0.028571428571428577,0.7878787878787878,0.6666666666666666
